codprod,descricao,categoria,descricao_manual,updated_at
10183,"CABO DVI PARA DVI 1,8M  HIGH SPEED",,,
12217,CABO EXTENSOR SATA D-CIC06 GRASEP?,,,
5951,"CABO EXTENSOR USB 2.0 1,8MTS Y18/Y337006",,,
7180,CABO EXTENSOR USB 2.0 3MTS Y30 DEX,,,
13289,CABO EXTENSOR USB A MACHO PARA USB A FEM,,,
14376,"CABO FLEXIVEL 750V 10,0MM 100M PT 7871",,,
14378,"CABO FLEXIVEL 750V 10,0MM 100M VD 7891",,,
14358,"CABO FLEXIVEL 750V 2,5MM 100M BR 7522",,,
18680,CABO HDMI 1.4 ALTA DEFIN KP-YP51000 1.5M,,,
18679,CABO HDMI 1.4 ALTA DEFIN KP-YP51000 3M,,,
15157,CABO HDMI 10M HDTV 4K 2160P HDTV 2.0V,,,
15559,CABO HDMI 15M HDTV 4K 2160P HDTV 2.0V,,,
13242,CABO HDMI 2.1V 8K FIBRA OPTICA 100M LOTU,,,
13240,CABO HDMI 2.1V 8K FIBRA OPTICA 20M LOTUS,,,
13241,CABO HDMI 2.1V 8K FIBRA OPTICA 60M LOTUS,,,
15158,CABO HDMI 20M HDTV 4K 2160P HDTV 2.0V,,,
16847,CABO HDMI 25M HIGH SPEED PRETO,,,
16848,CABO HDMI 30M E-THINK PRETO,,,
15164,CABO HDMI 3M HDTV 4K 2160P HDTV 2.0V,,,
15558,CABO HDMI 5M HDTV 4K 2160P HDTV 2.0V,,,
15560,"CABO HDMI PARA DVI 1,8M  HIGH SPEED",,,
18196,CABO HDMIXHADMI 1.5M ULTRAHD8K KP-YP5004,,,
10872,CABO LAN CAT5E 4X24 CMX BL 305M PT,,,
6174,CABO LIGHTNING MAGNETICO 2.4A 1M SX-B16I,,,
9932,"CABO MICRO USB DE COURO 1,2M DLC2518CB",,,
8449,CABO MINI DISPLAYPORT PARA HDMI,,,
8451,CABO MINI DISPLAYPORT PARA VGA?,,,
